qed,SAS,logP,src,rings,weight,csp3,hallkier,laputeASA,alicarbo,alihetero,alirings,amidebonds,arocarbo,arohetero,arorings,stereocenter,bridgehead,hba,hbd,rotatable
0.7950158,3.69562,1.4046439,0,4,177.1153641,0.7272727272727273,-0.63,78.60293144927083,1,3,4,0,0,0,0,3,2,2,0,0
0.8115894,3.6403818,1.072773,0,3,233.152812228,0.7692307692307693,-1.1900000000000002,101.39312070877789,2,1,3,0,0,0,0,4,4,3,2,0
0.83275616,3.969966,2.5752535,0,4,221.177964356,0.8571428571428571,-0.34,98.22983794873312,2,2,4,0,0,0,0,2,4,2,1,0
0.61898893,3.2898622,0.82939297,0,3,313.9221564360001,0.0,-1.8100000000000003,104.91517597857809,0,0,0,0,0,3,3,0,0,9,1,1
0.79926884,2.38576,1.7560289,0,2,294.94801977199995,0.18181818181818182,-1.87,105.06054448416216,0,1,1,0,1,0,1,0,0,5,0,0
0.80904174,3.5990353,2.630525,0,3,208.14632988,0.9230769230769231,-0.37,91.05681879224095,3,0,3,0,0,0,0,4,2,2,1,2
0.7821672,4.683864,3.2377367,0,3,215.167399672,0.7333333333333333,-0.74,98.69043171207741,2,1,3,0,0,0,0,5,0,1,1,0
0.8200385,3.6648211,2.3114262,0,3,215.094628656,0.38461538461538464,-1.64,93.8250785286134,2,0,2,0,0,1,1,3,0,3,1,1
0.7491351,3.5778599,2.5227861,0,4,212.083729624,0.35714285714285715,-1.41,93.91891087144855,2,1,3,0,1,0,1,2,0,2,0,0
0.7409074,3.840116,0.2121556,0,2,219.089543276,0.5,-1.6,93.97023640589354,1,1,2,0,0,0,0,3,0,4,1,0
0.8111329,2.6795952,2.0055094,0,3,216.126263132,0.38461538461538464,-1.4799999999999998,94.83965798096874,2,1,3,0,0,0,0,2,0,3,2,2
0.82347965,3.9368622,2.3260703,0,3,216.16264864,0.7142857142857143,-0.78,98.08532326788419,0,3,3,0,0,0,0,5,0,2,1,1
0.7521084,3.5501556,0.8972888,0,3,251.036462148,0.2,-2.0200000000000005,99.61128775520068,0,1,1,0,0,2,2,0,0,6,3,0
0.73736334,3.711057,2.0052786,0,4,219.089543276,0.4166666666666667,-1.5499999999999998,93.26893347266262,0,3,3,0,0,1,1,3,2,4,1,0
0.8225138,3.4896293,2.2746868,0,2,209.177964356,0.8461538461538461,-0.33999999999999997,92.55141551055486,2,0,2,0,0,0,0,3,2,2,2,1
0.7762554,2.668206,1.0991377,0,2,252.056863244,0.18181818181818182,-1.9500000000000004,101.27802826329471,0,0,0,0,1,1,2,0,0,5,4,2
0.82234806,3.0416315,2.5760298,0,4,249.12996860799998,0.6153846153846154,-0.8700000000000001,106.3396299654957,0,3,3,0,0,1,1,3,2,4,2,1
0.7632568,4.6243677,2.2360506,0,4,175.136099544,0.8333333333333334,-0.30000000000000004,79.5905488234991,3,1,4,0,0,0,0,5,3,1,1,0
0.7083754,3.295536,0.93636703,0,3,233.091274592,0.2,-2.44,96.64621854848802,0,1,1,0,0,2,2,0,2,5,3,0
0.78259003,3.728624,2.565042,0,2,336.9441973439999,0.4,-0.2400000000000001,112.67589759404588,0,1,1,0,0,1,1,0,0,5,1,3
0.7779987,3.3170187,1.2052636,0,4,255.020143388,0.5,-1.3099999999999998,100.29134505078694,0,3,3,0,0,1,1,2,2,6,0,2
